no	name	kind	entries	growth rate	rareness	attacks learned	hp	atkk	def	speed	spattk	spdef	base exp	breeding compa	egg moves	gender	happiness	steps to hatch	wild items	effort points	abilities	types	tmshms
1	BULBASAUR	Seed Pokémon	"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  3, 45,  7, 73,  9, 22, 13, 77, 13, 79, 15, 36, 19, 75, 21,230, 25, 74, 27, 38, 31,388, 33,235, 37,402"	45	49	49	45	65	65	64	"1,7"	"113, 130, 219, 204, 80, 345, 320, 174, 275, 267, 133, 437"	"12.5% female, 87.5% male"	70	5120	","	"0,0,0,0,1,0"	Overgrow	GRASS/POISON	          06    091011          17  19  2122        27        32      36          42434445              53        58                      70        75    78      8283    8687    90    H1    H4  H6    
2	IVYSAUR	Seed Pokémon	"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  1, 45,  1, 73,  3, 45,  7, 73,  9, 22, 13, 77, 13, 79, 15, 36, 20, 75, 23,230, 28, 74, 31, 38, 36,388, 39,235, 44, 76"	60	62	63	60	80	80	141	"1,7"		"12.5% female, 87.5% male"	70	5120	","	"0,0,0,0,1,1"	Overgrow	GRASS/POISON	          06    091011          17  19  2122        27        32      36          42434445              53        58                      70        75    78      8283    8687    90    H1    H4  H6    
3	VENUSAUR	Seed Pokémon	"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  1, 45,  1, 73,  1, 22,  3, 45,  7, 73,  9, 22, 13, 77, 13, 79, 15, 36, 20, 75, 23,230, 28, 74, 31, 38, 32, 80, 39,388, 45,235, 53, 76"	80	82	83	80	100	100	208	"1,7"		"12.5% female, 87.5% male"	70	5120	","	"0,0,0,0,2,1"	Overgrow	GRASS/POISON	        0506    091011      15  17  19  2122      2627        32      36          42434445              53        58                  68  70        75    78      8283    8687    90    H1    H4  H6  H8
4	CHARMANDER	Lizard Pokémon	"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 10,  1, 45,  7, 52, 10,108, 16, 82, 19,184, 25,424, 28,163, 34, 53, 37, 83"	39	52	43	65	60	50	65	"1,14"	"187, 246, 157, 44, 200, 251, 14, 349, 242, 407, 232, 394"	"12.5% female, 87.5% male"	70	5120	","	"0,0,0,1,0,0"	Blaze	FIRE	0102      06      1011          17      21  23      2728    3132    35    383940  42434445        50          56  58    61      65                  75    78  80  8283      87    90    H1    H4  H6    
5	CHARMELEON	Flame Pokémon	It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 10,  1, 45,  1, 52,  7, 52, 10,108, 17, 82, 21,184, 28,424, 32,163, 39, 53, 43, 83"	58	64	58	80	80	65	142	"1,14"		"12.5% female, 87.5% male"	70	5120	","	"0,0,0,1,1,0"	Blaze	FIRE	0102      06      1011          17      21  23      2728    3132    35    383940  42434445        50          56  58    61      65                  75    78  80  8283      87    90    H1    H4  H6    
6	CHARIZARD	Flame Pokémon	"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."	"Parabolic (max: 1,059,860 EXP)"	45	"  1,337,  1,421,  1,403,  1, 10,  1, 45,  1, 52,  1,108,  7, 52, 10,108, 17, 82, 21,184, 28,424, 32,163, 36, 17, 42, 53, 49, 83, 59,257, 66,394"	78	84	78	100	109	85	209	"1,14"		"12.5% female, 87.5% male"	70	5120	","	"0,0,0,0,3,0"	Blaze	FIRE/FLYING	0102    0506      1011      15  17      212223    262728    3132    35    383940  42434445  47    505152      56  5859  61      65    68            75    78  80  8283      87    90    H1H2  H4H5H6    
7	SQUIRTLE	Tiny Turtle Pokémon	"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  4, 39,  7,145, 10,110, 13, 55, 16, 44, 19,229, 22,182, 25,352, 28,401, 31,130, 34,240, 37, 56"	44	48	65	43	50	64	66	"1,2"	"243, 114, 54, 193, 175, 287, 300, 281, 330, 252, 392, 453"	"12.5% female, 87.5% male"	70	5120	","	"0,0,1,0,0,0"	Torrent	WATER	01  03    0607    10    1314    1718    21  23      2728    3132            39    42434445                  5556  58                              74      78      8283      87    90        H3H4  H6H7  
8	WARTORTLE	Turtle Pokémon	The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.	"Parabolic (max: 1,059,860 EXP)"	45	"  1, 33,  1, 39,  1,145,  4, 39,  7,145, 10,110, 13, 55, 16, 44, 20,229, 24,182, 28,352, 32,401, 36,130, 40,240, 44, 56"	59	63	80	58	65	80	143	"1,2"		"12.5% female, 87.5% male"	70	5120	","	"0,0,1,0,0,1"	Torrent	WATER	01  03    0607    10    1314    1718    21  23      2728    3132            39    42434445                  5556  58                              74      78      8283      87    90        H3H4  H6H7  
9	BLASTOISE	Shellfish Pokémon	It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.	"Parabolic (max: 1,059,860 EXP)"	45	"  1,430,  1, 33,  1, 39,  1,145,  1,110,  4, 39,  7,145, 10,110, 13, 55, 16, 44, 20,229, 24,182, 28,352, 32,401, 39,130, 46,240, 53, 56"	79	83	100	78	85	105	210	"1,2"		"12.5% female, 87.5% male"	70	5120	","	"0,0,0,0,0,3"	Torrent	WATER	01  03  050607    10    131415  1718    21  23    262728    3132            39    42434445            52    5556  58                  68      72  74      78  80  8283      87    9091      H3H4  H6H7H8
10	CATERPIE	Worm Pokémon	A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.	"Medium (max: 1,000,000 EXP)"	255	"  1, 33,  1, 81"	45	30	35	45	20	20	53	"3,3"		"50% female, 50% male"	70	3840	","	"1,0,0,0,0,0"	Shield Dust	BUG	                                                                                                                                                                                                        
