name	kind	description	growth rate	learn set	hp	attk	def	speed	spcattk	spdef	baseexp	breedingcomp	eggmoves	gender	happiness	steps to hatch egg	"wild items (25%,8%"	type	tms/hms
BULBASAUR	Seed Pokémon	"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  4, 45,  7, 73, 10, 22, 15, 77, 15, 79, 20, 75, 25,230, 32, 74, 39,235, 46, 76"	45	49	49	45	65	65	64	"1,7"	"113, 130, 219, 204, 13, 80"	"12.5% female, 87.5% male"	70	5120	","	GRASS/POISON	  0203    06      10111213      17  19202122        27      3132  3435        40      4445      49  H1      H5    
IVYSAUR	Seed Pokémon	"It is able to con- vert sunlight into energy. As a result, it is more powerful in the summertime."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 45,  1, 73,  4, 45,  7, 73, 10, 22, 15, 77, 15, 79, 22, 75, 29,230, 38, 74, 47,235, 56, 76"	60	62	63	60	80	80	141	"1,7"		"12.5% female, 87.5% male"	70	5120	","	GRASS/POISON	  0203    06      10111213      17  19202122        27      3132  3435        40      4445      49  H1      H5    
VENUSAUR	Seed Pokémon	"The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 45,  1, 73,  1, 22,  4, 45,  7, 73, 10, 22, 15, 77, 15, 79, 22, 75, 29,230, 41, 74, 53,235, 65, 76"	80	82	83	80	100	100	208	"1,7"		"12.5% female, 87.5% male"	70	5120	","	GRASS/POISON	  0203  0506      10111213  15  17  19202122        27      3132  3435        40      4445      49  H1      H5    
CHARMANDER	Lizard Pokémon	"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."	"Parabolic (max: 1,059,860 EXP)"	"  1, 10,  1, 45,  7, 52, 13,108, 19, 99, 25,184, 31, 53, 37,163, 43, 82, 49, 83"	39	52	43	65	60	50	65	"1,14"	"187, 246, 157, 44, 200, 251"	"12.5% female, 87.5% male"	70	5120	","	FIRE	010203    06  08  1011  13      17    2021  2324    2728    3132  3435    383940      4445    4849  H1    H4      
CHARMELEON	Flame Pokémon	"Breathing intense, hot flames, it can melt almost any- thing. Its breath inflicts terrible pain on enemies."	"Parabolic (max: 1,059,860 EXP)"	"  1, 10,  1, 45,  1, 52,  7, 52, 13,108, 20, 99, 27,184, 34, 53, 41,163, 48, 82, 55, 83"	58	64	58	80	80	65	142	"1,14"		"12.5% female, 87.5% male"	70	5120	","	FIRE	010203    06  08  1011  13      17    2021  2324    2728    3132  3435    383940      4445    4849  H1    H4      
CHARIZARD	Flame Pokémon	"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."	"Parabolic (max: 1,059,860 EXP)"	"  1, 10,  1, 45,  1, 52,  1,108,  7, 52, 13,108, 20, 99, 27,184, 34, 53, 36, 17, 44,163, 54, 82, 64, 83"	78	84	78	100	109	85	209	"1,14"		"12.5% female, 87.5% male"	70	5120	","	FIRE/FLYING	010203  0506  08  1011  13  15  17    2021  2324  262728    3132  3435  37383940      4445  474849  H1H2  H4      
SQUIRTLE	Tiny Turtle Pokémon	It cleverly con- trols its furry ears and tail to maintain its balance while swimming.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  4, 39,  7,145, 10,110, 13, 55, 18, 44, 23,229, 28,182, 33,240, 40,130, 47, 56"	44	48	65	43	50	64	66	"1,2"	"243, 114, 54, 93, 193, 175"	"12.5% female, 87.5% male"	70	5120	","	WATER	01020304  06  08  10    1314  161718  2021  23      2728    3132333435        40      4445              H3H4  H6H7
WARTORTLE	Turtle Pokémon	The rocket cannons on its shell fire jets of water capable of punch- ing holes through thick steel.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 39,  1,145,  4, 39,  7,145, 10,110, 13, 55, 19, 44, 25,229, 31,182, 37,240, 45,130, 53, 56"	59	63	80	58	65	80	143	"1,2"		"12.5% female, 87.5% male"	70	5120	","	WATER	01020304  06  08  10    1314  161718  2021  23      2728    3132333435        40      4445              H3H4  H6H7
BLASTOISE	Shellfish Pokémon	Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1, 39,  1,145,  1,110,  4, 39,  7,145, 10,110, 13, 55, 19, 44, 25,229, 31,182, 42,240, 55,130, 68, 56"	79	83	100	78	85	105	210	"1,2"		"12.5% female, 87.5% male"	70	5120	","	WATER	010203040506  08  10    131415161718  2021  23    262728    3132333435        40      4445              H3H4  H6H7
CATERPIE	Worm Pokémon	It prepares for evolution by har- dening its shell as much as possi- ble to protect its soft body.	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 81"	45	30	35	45	20	20	53	"3,3"		"50% female, 50% male"	70	3840	","	BUG	                                                                                                                  
